# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1867

 -> 33 (5000) [1]
13,33,43,22 -> 23 (10000) [5]
13,33,43,11 -> 23 (10000) [5]
13,33,43,12 -> 23 (10000) [5]
13,33,42,41 -> 34 (10000) [5]
13,33,42,31 -> 34 (10000) [5]
13,33,42,14 -> 34 (10000) [5]
13,33,41 -> 42 (15831) [5]
13,33,41,51 -> 21 (14831) [5]
13,33,41,44 -> 34 (10000) [5]
13,33,41,43 -> 34 (10000) [5]
13,33,41,32 -> 34 (10000) [5]
13,33,41,31 -> 21 (17526) [5]
13,33,41,25 -> 32 (17593) [5]
13,33,41,24 -> 32 (18538) [5]
13,33,41,23 -> 44 (10000) [5]
13,33,41,22 -> 51 (10000) [5]
13,33,41,21 -> 43 (10000) [5]
13,33,41,15 -> 51 (10000) [5]
13,33,41,14 -> 44 (10000) [5]
13,33,41,11 -> 44 (10000) [5]
13,33,32 -> 34 (10000) [5]
13,33,32,51 -> 23 (10000) [5]
13,33,32,44 -> 23 (10000) [5]
13,33,32,41 -> 23 (10000) [5]
13,33,32,25 -> 23 (10000) [5]
13,33,32,24 -> 23 (10000) [5]
13,33,32,23 -> 15 (10000) [5]
13,33,32,22 -> 23 (10000) [5]
13,33,32,21 -> 23 (10000) [5]
13,33,32,15 -> 23 (10000) [5]
13,33,32,14 -> 23 (10000) [5]
13,33,32,11 -> 23 (10000) [5]
13,33,31 -> 42 (16924) [5]
13,33,31,51 -> 34 (19106) [5]
13,33,31,44 -> 34 (10000) [5]
13,33,31,43 -> 34 (10000) [5]
13,33,31,41 -> 21 (17526) [5]
13,33,31,25 -> 34 (19386) [5]
13,33,31,24 -> 34 (19553) [5]
13,33,31,23 -> 44 (18221) [5]
13,33,31,22 -> 51 (10000) [5]
13,33,31,21 -> 34 (18396) [5]
13,33,31,15 -> 23 (19016) [5]
13,33,31,14 -> 23 (13756) [5]
13,33,31,11 -> 22 (17821) [5]
13,33,21 -> 23 (10000) [5]
13,33,21,55 -> 32 (10000) [5]
13,33,21,42 -> 32 (10000) [5]
13,33,21,43 -> 32 (10000) [5]
13,33,21,44 -> 32 (10000) [5]
