# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
11,33,35,15,14 -> 51 (-10000) [6]
11,33,35,15,44 -> 51 (-10000) [6]
11,33,35,45 -> 22 (-10000) [6]
11,33,35,45,15 -> 51 (-10000) [6]
11,33,35,45,54 -> 51 (-10000) [6]
11,33,35,45,53 -> 51 (-10000) [6]
11,33,35,45,14 -> 51 (-10000) [6]
11,33,35,45,24 -> 51 (-10000) [6]
11,33,35,14 -> 22 (-10000) [6]
11,33,35,14,51 -> 34 (-10000) [6]
11,33,35,14,53 -> 51 (-10000) [6]
11,33,35,14,25 -> 51 (-10000) [6]
11,33,35,14,15 -> 51 (-10000) [6]
11,33,35,14,54 -> 51 (-10000) [6]
11,33,35,25 -> 51 (-10000) [6]
11,33,35,25,13 -> 22 (-10000) [6]
11,33,35,25,53 -> 22 (-10000) [6]
11,33,35,25,14 -> 22 (-10000) [6]
11,33,35,25,54 -> 22 (-10000) [6]
11,33,35,25,55 -> 22 (-10000) [6]
11,33,45 -> 32 (-10000) [6]
11,33,45,53 -> 22 (-10000) [6]
11,33,45,53,15 -> 41 (-10000) [6]
11,33,45,53,31 -> 15 (-10000) [6]
11,33,45,53,35 -> 15 (-10000) [6]
11,33,45,53,41 -> 15 (-10000) [6]
11,33,45,53,42 -> 15 (-10000) [6]
11,33,45,51 -> 22 (-10000) [6]
11,33,45,51,53 -> 15 (-10000) [6]
11,33,45,51,31 -> 15 (-10000) [6]
11,33,45,51,55 -> 15 (-10000) [6]
11,33,45,51,41 -> 15 (-10000) [6]
11,33,45,51,52 -> 15 (-10000) [6]
11,33,45,52 -> 31 (-10000) [6]
11,33,45,52,15 -> 41 (-10000) [6]
11,33,45,52,53 -> 15 (-10000) [6]
11,33,45,52,41 -> 15 (-10000) [6]
11,33,45,52,55 -> 15 (-10000) [6]
11,33,45,52,54 -> 15 (-10000) [6]
11,33,45,55 -> 22 (-10000) [6]
11,33,45,55,52 -> 15 (-10000) [6]
